@RELATION ratings
@ATTRIBUTE lda_cossim real
@ATTRIBUTE language_model real
@ATTRIBUTE text_overlap_plus_normalized_follower_count real
@ATTRIBUTE rating {yes,no}
@DATA
17,18,12,no
1,2,5,no
14,13,7,no
6,5,9,no
12,15,11,no
8,7,17,no
3,9,10,no
7,3,16,no
16,17,3,no
9,11,14,no
18,16,13,no
10,6,15,no
2,1,6,yes
5,8,18,no
13,12,1,no
4,14,8,no
28,15,10,no
18,13,18,no
26,23,3,no
19,19,2,no
16,20,13,no
27,27,9,no
7,5,24,no
2,7,27,no
3,26,28,no
15,21,6,no
17,11,16,no
22,24,5,no
6,4,7,no
12,16,17,no
5,29,19,no
23,14,30,no
24,25,12,no
20,22,4,no
14,18,21,yes
21,10,25,yes
8,1,8,no
10,2,15,yes
9,3,14,no
29,8,11,no
30,12,29,no
13,30,26,no
4,28,20,no
25,17,1,no
1,9,22,yes
11,6,23,no
17,13,5,yes
23,11,9,no
18,27,13,no
16,3,7,yes
6,5,12,no
22,16,3,no
2,22,14,no
10,23,18,no
8,10,25,no
25,21,19,no
20,24,1,no
3,15,15,no
12,26,16,no
9,9,24,no
26,20,22,no
7,1,8,yes
11,4,20,no
21,8,2,no
4,17,11,no
1,18,17,no
15,2,6,yes
27,14,26,no
24,7,10,no
5,12,4,no
13,6,23,no
19,19,27,no
14,25,21,no
12,5,3,yes
8,2,8,yes
9,3,4,yes
25,8,24,no
24,19,22,no
5,15,21,no
21,22,13,no
7,1,1,yes
6,10,20,no
13,17,10,no
14,18,17,no
20,25,12,no
11,6,2,yes
18,16,9,no
19,23,11,no
4,12,19,no
10,4,6,yes
17,20,25,no
3,14,23,no
15,7,5,no
16,11,18,no
1,13,7,no
2,9,16,no
23,21,15,no
22,24,14,no
11,14,12,no
8,11,6,no
13,5,3,no
7,7,4,no
1,2,10,yes
12,8,5,no
4,13,9,no
3,3,11,yes
5,12,8,no
10,9,1,no
9,4,13,no
2,1,14,no
6,6,7,no
14,10,2,no
14,13,25,no
4,3,15,yes
13,20,2,no
11,23,24,no
20,2,9,yes
17,22,10,no
9,24,3,no
15,10,26,no
5,26,21,no
16,11,18,no
25,25,1,no
2,16,20,no
19,5,7,yes
7,4,5,no
23,14,14,no
6,1,8,yes
3,7,22,yes
21,9,27,no
22,19,12,no
12,18,17,yes
27,8,19,no
10,21,13,no
8,12,23,no
24,27,4,no
1,17,16,yes
18,15,11,no
26,6,6,yes
30,8,16,no
14,9,19,no
23,17,1,no
25,11,26,no
12,12,5,yes
3,16,20,yes
6,26,12,yes
21,20,17,no
5,7,30,yes
28,14,7,no
11,21,24,no
18,4,27,yes
22,5,9,no
10,6,14,yes
29,15,8,no
8,27,10,yes
2,25,25,yes
17,1,15,no
26,18,6,no
9,30,13,yes
16,24,3,yes
13,13,4,no
1,22,21,no
19,2,18,no
24,19,2,no
7,28,11,yes
27,10,23,no
15,3,28,no
4,29,29,yes
20,23,22,no
17,26,24,no
12,20,12,no
20,15,21,yes
11,17,28,no
6,1,23,yes
3,3,25,no
2,11,19,no
18,21,10,no
22,8,2,no
13,16,27,no
4,12,14,yes
10,6,6,no
23,19,4,no
7,10,13,no
19,28,22,no
16,22,18,yes
25,9,1,no
27,25,5,no
5,4,26,no
14,18,9,no
28,14,7,no
26,27,3,no
9,5,17,no
21,2,20,no
8,13,16,yes
1,7,8,yes
24,23,15,no
15,24,11,no
7,6,15,yes
23,24,4,no
13,11,26,yes
15,9,18,yes
1,4,7,yes
6,5,23,yes
18,22,13,no
22,21,3,no
10,18,9,yes
11,23,2,no
24,25,5,no
14,13,14,no
20,2,10,no
5,3,21,yes
19,14,20,no
16,8,16,yes
8,7,19,yes
21,26,1,no
3,19,22,yes
4,20,25,yes
2,1,8,yes
9,16,12,no
25,15,6,no
17,10,17,yes
26,17,11,no
12,12,24,yes
18,4,21,yes
30,21,9,no
21,2,17,yes
29,13,3,no
4,29,26,yes
28,20,1,yes
1,16,19,no
3,27,30,yes
11,19,7,yes
22,10,16,yes
8,14,13,yes
25,18,22,yes
6,24,11,yes
2,30,20,yes
17,22,2,yes
24,23,4,yes
5,1,24,yes
27,12,5,no
15,11,8,yes
20,17,6,yes
16,5,28,yes
13,26,27,no
23,6,23,yes
14,9,25,no
19,8,18,yes
12,15,10,yes
26,7,15,no
7,25,12,yes
9,3,14,yes
10,28,29,yes
4,12,20,yes
25,8,29,no
14,21,13,no
24,18,10,no
26,7,11,no
15,5,23,yes
27,16,1,no
16,3,22,yes
1,28,18,yes
12,2,6,yes
22,22,7,no
28,24,8,no
8,29,24,no
23,25,9,no
18,4,16,yes
11,15,12,yes
6,19,25,yes
3,6,19,no
9,1,17,yes
19,23,4,no
17,27,15,yes
7,26,5,no
2,14,21,no
20,9,3,no
21,13,2,yes
10,17,14,yes
13,10,27,no
5,20,26,yes
29,11,28,no
