@RELATION nothing 
@ATTRIBUTE webpage string
@ATTRIBUTE rating {1,-1}
@ATTRIBUTE tweet string
@ATTRIBUTE uid string
@ATTRIBUTE lda real
@ATTRIBUTE language_model real
@ATTRIBUTE tweet_length integer
@ATTRIBUTE chars integer
@ATTRIBUTE isverified {true,false}
@ATTRIBUTE followers_count integer
@ATTRIBUTE statuses_count integer
@ATTRIBUTE listed_count integer
@ATTRIBUTE friends_count integer
@ATTRIBUTE absolute_time_difference integer
@ATTRIBUTE relative_time_difference integer
@ATTRIBUTE binary_decision {1.0,-1.0}
@ATTRIBUTE capped_time_after integer
@ATTRIBUTE contains_url {true,false}
@ATTRIBUTE url_count integer
@ATTRIBUTE hashtag_count integer
@DATA
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae4b7a00323226c695ba53","9d446b2940cf44b184cbc8f3fe05e376",0.0,-7.83470784851039,11.0,136.0,false,391.0,2084.0,22.0,1386.0,3462323000.0,3462323000.0,1.0,3462323000.0,false,1.0,2.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae1b8f00323226c5b3c406","9d446b2940cf44b184cbc8f3fe05e376",0.6922548823124428,-7.033283422565008,15.0,136.0,false,901.0,24519.0,20.0,83.0,1767062000.0,1767062000.0,1.0,1767062000.0,false,1.0,2.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae660700323226c7298ee7","9d446b2940cf44b184cbc8f3fe05e376",0.6414024127271274,-7.776385432086784,14.0,138.0,false,112.0,5972.0,3.0,159.0,4546171000.0,4546171000.0,1.0,4546171000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52adc8be00323226c41483d2","9d446b2940cf44b184cbc8f3fe05e376",0.8784036191626731,-7.702060298519671,12.0,115.0,false,792.0,11099.0,25.0,787.0,97500000.0,-97500000.0,-1.0,0.0,false,1.0,5.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52ae4fee00323226c6b1aed9","9d446b2940cf44b184cbc8f3fe05e376",0.07016795417438844,-7.54452852800499,13.0,138.0,false,23984.0,52259.0,504.0,23807.0,5351748000.0,5351748000.0,1.0,5351748000.0,false,1.0,1.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52ae0c4500323226c55b6595","9d446b2940cf44b184cbc8f3fe05e376",0.0,-7.179527675853209,11.0,100.0,false,352.0,17349.0,12.0,1094.0,2519419000.0,2519419000.0,1.0,2519419000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52addd1f00323226c45ed809","9d446b2940cf44b184cbc8f3fe05e376",0.6409060419553663,-7.663313085817572,11.0,120.0,false,133.0,3384.0,4.0,263.0,496962000.0,496962000.0,1.0,496962000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52adec2400323226c4b32ab1","9d446b2940cf44b184cbc8f3fe05e376",0.1094774299763642,-7.781568420787956,12.0,137.0,false,240.0,3777.0,7.0,411.0,1176310000.0,1176310000.0,1.0,1176310000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52adf86f00323226c4f411f5","9d446b2940cf44b184cbc8f3fe05e376",0.7260553944107769,-6.866255921932506,10.0,105.0,false,760.0,142144.0,26.0,1.0,1703187000.0,1703187000.0,1.0,1703187000.0,false,1.0,3.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52adc85300323226c411a40f","9d446b2940cf44b184cbc8f3fe05e376",0.7260553944107768,-6.079927747964244,10.0,132.0,false,2244.0,35408.0,62.0,2060.0,118294000.0,-118294000.0,-1.0,0.0,false,1.0,1.0
